timestep,sim_simulation_time,sim_dt_physics,sim_battery_age_factor,sim_battery_time_accel,sim_speed,sim_throttle,sim_front_rpm,sim_rear_rpm,sim_range,sim_battery_degradation,sim_battery_soh,sim_battery_temp,sim_battery_temp_std,sim_battery_soc,sim_battery_curr,sim_battery_cooling_temp,carla_steering,carla_roll,carla_pitch,carla_yaw,carla_env_temp,carla_traffic_light
2.4211322590708733,0.05,0.05,5,5.162787393162821,0.0,0,0,0,500,0.004608298395965701,0.9953917016040343,25,5.99182245303757e-14,1,-2.306056791078894e-06,25.004999999999995,0.1372624635696411,0.0,0.0,89.99995422363281,7.34477970536503,0
2.4711322598159313,0.1,0.05,5,5.162787611113831,0.0,0,0,0,500,0.0046082985905851435,0.9953917014094149,25.000002079076125,5.99182245303757e-14,0.9999999999996861,-2.306056791090131e-06,25.00498807979119,0.014690443873405457,0.0,0.0,89.99995422363281,7.34477970536503,0
2.5211322605609894,0.15,0.05000000000000002,5,5.162787975394155,0.0,0,0,0,500,0.004608298834935871,0.9953917011650641,25.000004149744427,5.99182245303757e-14,0.9999999999993724,-2.3060567911013232e-06,25.004976729340854,0.038495782762765884,0.0,0.0,89.99995422363281,7.34477970536503,0
2.5711322613060474,0.2,0.04999999999999999,5,5.162788481784101,0.0,0,0,0,500,0.00460829912758084,0.9953917008724191,25.00000621219641,0,0.9999999999990573,-2.3060567911124693e-06,25.004965925759905,0.038495782762765884,0.0,0.0,89.99995422363281,7.34477970536503,0
2.6211322620511055,0.25,0.04999999999999999,5,5.162789132828874,0.0,0,0,0,500,0.0046082994694195975,0.9953917005305803,25.00000826688506,5.99182245303757e-14,0.9999999999987436,-2.3060567911235735e-06,25.004955630196264,0.038495782762765884,0.0,0.0,89.99995422363281,7.34477970536503,0
2.6711322627961636,0.3,0.050000000000000044,5,5.162789928550178,0.0,0,0,0,500,0.004608299860463474,0.9953917001395365,25.000010313878022,5.99182245303757e-14,0.9999999999981161,-4.6120905146112905e-06,25.004945830177974,0.038495782762765884,0.0,0.0,89.99995422363281,7.34477970536503,0
2.7211322635412216,0.35,0.04999999999999999,5,5.162790868945411,0.0,0,0,0,500,0.004608300300723403,0.9953916996992765,25.00001235337629,5.99182245303757e-14,0.9999999999974878,-4.612090514632938e-06,25.00493650599634,0.038495782762765884,0.0,0.0,89.99995422363281,7.34477970536503,0
2.7711322642862797,0.4,0.04999999999999999,5,5.162791954015921,0.0,0,0,0,500,0.0046083007902109775,0.995391699209789,25.000014385577515,5.99182245303757e-14,0.9999999997030212,-0.0021681957154731616,25.004927640607207,0.038495782762765884,0.0,0.0,89.99995422363281,7.34477970536503,0
2.8211322650313377,0.45,0.04999999999999999,5,5.162793183766147,0.0,0,0,0,500,0.004608301329178581,0.9953916986708214,25.000016410669787,5.99182245303757e-14,0.9999999994077879,-0.002168195715636778,25.004919221376554,0.038495782762765884,0.0,0.0,89.99995422363281,7.34477970536503,0
2.871132265776396,0.5,0.04999999999999999,5,5.162794558189575,0.06769819122991645,0.00038980023300865224,2.006197372687131,2.003554067562521,500,0.0046083019200077275,0.9953916980799923,25.00001847417866,5.99182245303757e-14,0.9999999577569779,-0.3104780414919333,25.00491124319916,0.038495782762765884,-0.000946044921875,0.008448943495750427,90.00682830810547,7.34477970536503,0
2.921132266521454,0.55,0.050000000000000044,5,5.162796077495899,0.14658772390950786,0.0008422018191252285,4.333106875295287,4.329986215655591,500,0.004608302595646586,0.9953916974043534,25.00002055303105,0,0.9999999066204966,-0.3732234257341246,25.004903714979832,0.038305528461933136,-0.004089356865733862,0.04346049204468727,90.05061340332031,7.34477970536503,0
2.971132267266512,0.6,0.050000000000000044,5,5.162797741269296,0.2159624706760493,0.0012395022023540475,6.376107829524242,6.373438949043245,500,0.004608303327425361,0.9953916966725747,25.00002262497486,5.99182245303757e-14,0.9999998555941461,-0.3700843087202386,25.00489666945424,0.03709551692008972,-0.006256108172237873,0.07359528541564941,90.12142944335938,7.34477970536503,0
3.02113226801157,0.65,0.04999999999999993,5,5.162799549721818,0.43445099376084695,0.0024970792594940995,12.849617118558193,12.836500496528249,500,0.004608304171998623,0.9953916958280014,25.000025798587103,5.99182245303757e-14,0.9999996438031812,-1.5809573000517008,25.0048896250957,0.03541797399520874,-0.0072326622903347015,0.09116935729980469,90.20389556884766,7.34477970536503,0
3.071132268756628,0.7,0.050000000000000044,5,5.162801502854667,1.0236506418454747,0.0059164895705762395,30.49401580877087,30.377894278607997,500,0.004608306301108261,0.9953916936988917,25.000048067644116,0,0.9999987640179667,-7.550655846018232,25.004882214053396,0.03365899994969368,-0.007598873693495989,0.09902407974004745,90.30337524414062,7.34477970536503,0
3.121132269501686,0.75,0.04999999999999993,5,5.162803600657961,1.6955609664477411,0.009815087757263908,50.52220025230508,50.44413962614635,500,0.004608310502701856,0.9953916894972982,25.000093942809087,5.99182245303757e-14,0.9999974643631124,-10.981837224674857,25.004874160413124,0.0314948670566082,-0.007507322821766138,0.10045841336250305,90.40277862548828,7.34477970536503,0
3.171132270246744,0.8,0.050000000000000044,5,5.16280584313869,2.3691121241239186,0.013714070955295796,70.59183332796206,70.4827636016906,500,0.004608316867135206,0.9953916831328647,25.00016987820868,5.99182245303757e-14,0.9999957742170752,-13.84473780393185,25.00486521896636,0.029482971876859665,-0.007263179402798414,0.09858011454343796,90.51171875,7.34477970536503,0
