timestep,sim_simulation_time,sim_dt_physics,sim_battery_age_factor,sim_battery_time_accel,sim_speed,sim_throttle,sim_front_rpm,sim_rear_rpm,sim_range,sim_battery_degradation,sim_battery_soh,sim_battery_temp,sim_battery_temp_std,sim_battery_soc,sim_battery_curr,sim_battery_cooling_temp,carla_steering,carla_roll,carla_pitch,carla_yaw,carla_env_temp,carla_traffic_light,P_pack_W,C_rate,P_loss_W,E_kWh_cum,distance_km_cum,Wh_per_km_mask,Wh_per_km_inst,Wh_per_km_rolling_mask,Wh_per_km_rolling,T_hot_proxy
2.645596221089363,0.05,0.05,5,5.162790214343387,0.0,0.0,0.0,0.0,500.0,0.0046082993641105,0.9953917006358894,25.0,5.99182245303757e-14,1.0,-2.306056791078894e-06,25.004999999999995,0.1500000059604644,0.0,0.0,179.999755859375,40.07240293510149,0,-0.0010635849043113465,4.045713668559463e-08,4.574987583742834e-14,-1.4772012559879814e-11,0.0,0.0,0.0,1.0,0.0,25.000000319075472
2.695596221834421,0.1,0.05,5,5.162793107861905,0.0,0.0,0.0,0.0,500.0,0.0046083004771719,0.995391699522828,25.00000208371773,5.99182245303757e-14,0.9999999999996853,-2.306056791090157e-06,25.00501017603858,0.0129151754081249,0.0,0.0,179.999755859375,40.07240293510149,0,-0.001063584904321736,4.0457136685792225e-08,4.574987605949519e-14,-2.9544025119903926e-11,0.0,0.0,0.0,1.0,-1.4772012560024112e-08,25.000002402793204
2.745596222579479,0.15,0.05,5,5.162796001380428,0.0,0.0,0.0,0.0,500.0,0.0046083015902702,0.9953916984097296,25.00000416807984,5.99182245303757e-14,0.9999999999993712,-2.306056791101424e-06,25.005019876139272,0.0576860681176185,0.0,0.0,179.999755859375,40.07240293510149,0,-0.0010635849043321292,4.0457136685989895e-08,4.574987628163076e-14,-4.4316037680072384e-11,0.0,0.0,0.0,1.0,-2.9544025120192573e-08,25.000004487155312
2.7955962233245373,0.2,0.0499999999999999,5,5.162798894898946,0.0,0.0,0.0,0.0,500.0,0.0046083027033947,0.9953916972966051,25.000006252899997,5.99182245303757e-14,0.999999999999057,-2.306056791112693e-06,25.00502912178337,0.0576860681176185,0.0,0.0,179.999755859375,40.07240293510149,0,-0.001063584904342524,4.04571366861876e-08,4.57498765038151e-14,-5.908805024038519e-11,0.0,0.0,0.0,1.0,-4.4316037680505376e-08,25.00000657197547
2.845596224069596,0.25,0.0499999999999999,5,5.1628017884174655,0.0,0.0,0.0,0.0,500.0,0.0046083038165346,0.9953916961834652,25.000008337992654,5.99182245303757e-14,0.9999999999987428,-2.306056791123964e-06,25.00503794557062,0.0576860681176185,0.0,0.0,179.999755859375,40.07240293510149,0,-0.0010635849043529205,4.0457136686385334e-08,4.574987672602852e-14,-7.38600628008424e-11,0.0,0.0,0.0,1.0,-5.9088050240962585e-08,25.000008657068125
2.8955962248146534,0.3,0.05,5,5.162804681935984,0.0,0.0,0.0,0.0,500.0,0.0046083049296807,0.9953916950703192,25.000010423198773,5.99182245303757e-14,0.9999999999981152,-4.612090514612493e-06,25.005046358614663,0.0576860681176185,0.0,0.0,179.999755859375,40.07240293510149,0,-0.0021271591696073754,8.091386867741217e-08,1.8299767723987646e-13,-1.0340394015650039e-10,0.0,0.0,0.0,1.0,-8.863192759662057e-08,25.000011061346523
2.9455962255597115,0.35,0.0499999999999999,5,5.162807575454501,0.0,0.0,0.0,0.0,500.0,0.0046083060428242,0.9953916939571756,25.00001250835868,5.99182245303757e-14,0.9999999999974876,-4.6120905146346415e-06,25.00505437946288,0.0576860681176185,0.0,0.0,179.999755859375,40.07240293510149,0,-0.002127159169627806,8.091386867780073e-08,1.8299767812871855e-13,-1.3294781751244208e-10,0.0,0.0,0.0,1.0,-1.1817580495256226e-07,25.00001314650643
2.995596226304769,0.4,0.0499999999999999,5,5.162810468973025,0.0,0.0,0.0,0.0,500.0,0.0046083071559561,0.9953916928440438,25.000014593321964,0.0,0.999999999703498,-0.0021681957154718,25.00506202602776,0.0576860681176185,0.0,0.0,179.999755859375,40.07240293510149,0,-1.0000014923239495,3.803852132406666e-05,4.0443329471143405e-08,-1.4021857433122825e-08,0.0,0.0,0.0,1.0,-1.4007085420562945e-05,25.000314593769662
3.045596227049828,0.45,0.0499999999999999,5,5.162813362491543,0.0,0.0,0.0,0.0,500.0,0.0046083082693079,0.995391691730692,25.000016677940778,5.99182245303757e-14,0.9999999994082648,-0.0021681957156351,25.005069315493813,0.0576860681176185,0.0,0.0,179.999755859375,40.07240293510149,0,-1.0000014923239533,3.803852132693158e-05,4.044332967323438e-08,-2.791076704873326e-08,0.0,0.0,0.0,1.0,-2.7895995036173377e-05,25.000316678388476
3.0955962277948856,0.5,0.0499999999999999,5,5.162816256010061,0.0668367416067143,0.0003848190126895,1.9805393105100475,1.97796663132362,500.0,0.0046083093852138,0.9953916906147862,25.00001880688012,5.99182245303757e-14,0.9999999579714428,-0.3061812721276244,25.005076264284583,0.0576860681176185,-0.001373291015625,0.008483094163239,-179.9898223876953,40.07240293510149,0,-141.21498506468595,0.00537160126539692,0.000806505230230503,-1.9892300040582563e-06,9.2828807787103e-07,1.0,-211.28346725164073,1.0,-0.0019892152320456964,25.042383302399525
